R,G,B,H,L,S,Count_df1,Count_df2
9,134,170,193,35,90,13,16.0
47,125,193,208,47,61,11,12.0
62,78,130,226,38,35,7,9.0
65,137,191,206,50,50,15,16.0
68,91,151,223,43,38,11,12.0
70,85,114,220,36,24,15,16.0
81,102,134,216,42,25,10,12.0
82,112,152,214,46,30,11,12.0
87,93,105,220,38,9,9,12.0
99,106,119,219,43,9,15,16.0
102,127,163,215,52,25,14,16.0
123,78,100,331,39,22,11,12.0
129,222,206,170,69,58,2,3.0
138,166,148,141,60,14,11,12.0
143,93,120,328,46,21,13,16.0
144,102,73,25,43,33,15,16.0
144,153,157,198,59,6,8,9.0
145,149,126,70,54,10,15,16.0
146,155,131,82,56,11,11,12.0
149,116,110,9,51,16,9,12.0
155,107,104,4,51,20,15,16.0
162,108,80,20,47,34,6,8.0
167,184,187,189,69,13,15,16.0
168,139,113,28,55,24,11,12.0
186,131,102,21,56,38,10,12.0
187,142,91,32,55,41,11,12.0
190,162,201,283,71,27,14,16.0
190,179,173,21,71,12,10,12.0
192,128,155,335,63,34,11,12.0
196,117,75,21,53,51,3,4.0
197,179,111,47,60,43,10,12.0
202,122,80,21,55,54,7,8.0
202,156,132,21,65,40,2,3.0
206,81,110,346,56,56,11,12.0
210,86,124,342,58,58,10,12.0
210,149,81,32,57,59,6,8.0
214,161,187,331,74,39,14,16.0
216,70,73,359,56,65,7,8.0
223,218,233,260,88,25,11,12.0
224,180,204,327,79,42,11,12.0
225,208,194,27,82,34,14,16.0
226,132,85,20,61,71,10,12.0
229,127,121,3,69,68,9,12.0
229,241,223,100,91,39,7,8.0
231,211,228,309,87,29,9,12.0
242,147,166,348,76,79,8,12.0
244,133,70,22,62,89,10,12.0
244,162,70,32,62,89,8,9.0
253,179,85,34,66,98,3,4.0
